date,total_precip,avg_temp,max_temp,min_temp,avg_humidity,avg_wind_speed,sunshine,solar_rad,avg_cloud
2024-06-01,0.0,20.9,26.3,17.4,75.0,2.6,7.0,22.22,9.3
2024-06-02,45.5,18.7,24.6,16.2,88.0,2.3,2.9,13.72,9.5
2024-06-03,25.5,18.3,24.3,15.0,88.0,2.2,2.4,13.01,9.0
2024-06-04,,19.5,25.5,14.8,75.0,2.5,7.8,22.0,5.0
2024-06-05,,21.4,27.4,16.4,64.0,2.7,11.9,28.99,3.0
2024-06-06,,22.0,27.0,18.1,72.0,3.0,3.8,15.79,8.0
2024-06-07,,22.1,26.7,18.1,67.0,2.7,5.1,19.64,6.0
2024-06-08,,22.8,28.2,17.4,66.0,2.7,11.8,29.16,5.0
2024-06-09,0.5,22.4,25.7,19.9,76.0,3.6,0.2,12.88,10.0
2024-06-10,17.0,20.7,24.7,17.4,85.0,2.4,0.7,11.06,10.0
2024-06-11,,24.0,29.0,19.5,73.0,3.2,12.8,27.88,9.0
2024-06-12,0.0,24.6,30.1,20.0,74.0,3.1,10.4,25.39,4.8
2024-06-13,,22.6,25.4,20.0,81.0,2.0,1.6,7.6,8.5
2024-06-14,,25.9,31.7,19.5,67.0,2.7,12.7,28.7,0.0
2024-06-15,0.5,24.8,29.9,20.9,75.0,2.8,8.0,25.18,7.5
2024-06-16,5.5,23.7,28.7,19.7,86.0,2.5,6.8,21.6,6.8
2024-06-17,0.0,26.0,30.5,22.5,75.0,2.1,4.6,14.89,10.0
2024-06-18,98.0,19.2,22.5,18.0,100.0,2.0,0.0,1.62,10.0
2024-06-19,,23.5,29.5,17.2,72.0,2.7,13.3,29.75,2.8
2024-06-20,,24.4,28.4,20.8,75.0,3.2,6.2,19.52,8.5
2024-06-21,44.0,20.1,23.3,17.3,94.0,2.8,0.0,2.74,8.5
2024-06-22,0.0,23.9,30.0,16.8,67.0,3.3,8.5,22.82,7.5
2024-06-23,29.5,21.6,24.2,20.0,95.0,2.3,0.1,5.08,10.0
2024-06-24,,26.7,33.4,21.0,81.0,2.1,6.5,23.07,8.3
2024-06-25,0.0,27.8,31.8,24.5,76.0,2.0,1.3,15.79,8.5
2024-06-26,0.0,26.9,31.4,24.6,73.0,2.6,2.4,14.45,10.0
2024-06-27,0.0,25.4,29.8,23.0,70.0,3.2,5.1,18.91,9.8
2024-06-28,82.5,22.0,23.8,20.0,98.0,1.9,0.0,3.6,10.0
2024-06-29,0.0,23.7,29.0,20.7,87.0,2.0,3.8,14.62,7.0
2024-06-30,1.5,25.9,29.0,22.8,84.0,3.8,0.4,10.64,10.0
2024-07-01,12.5,26.3,29.4,24.6,89.0,4.8,0.1,7.81,9.8
2024-07-02,0.0,27.3,31.4,24.1,80.0,2.3,2.2,14.64,10.0
2024-07-03,0.0,27.7,33.3,23.6,77.0,2.6,7.2,22.13,9.0
2024-07-04,,29.3,35.0,25.0,75.0,2.7,9.1,22.89,5.0
2024-07-05,,30.2,35.5,26.2,70.0,2.7,13.2,27.73,1.3
2024-07-06,36.0,28.1,34.2,23.9,84.0,2.1,7.5,19.5,10.0
2024-07-07,,28.9,34.4,24.2,84.0,2.1,9.9,25.49,9.0
2024-07-08,,30.9,36.0,26.1,73.0,2.3,11.3,25.63,8.3
2024-07-09,0.0,30.1,34.5,26.2,72.0,2.8,6.4,17.22,8.8
2024-07-10,0.0,29.5,33.7,26.6,70.0,3.7,4.3,15.88,8.5
2024-07-11,0.5,27.8,29.6,26.1,77.0,4.0,0.0,7.99,10.0
2024-07-12,13.5,24.4,26.9,22.4,93.0,1.8,0.0,5.25,10.0
2024-07-13,0.0,26.2,31.3,22.5,82.0,2.7,7.0,21.22,10.0
2024-07-14,12.5,25.4,28.8,23.7,95.0,1.8,0.4,6.99,10.0
2024-07-15,0.5,24.6,27.7,23.2,87.0,2.4,0.4,7.37,10.0
2024-07-16,11.5,23.9,27.3,22.2,90.0,1.8,0.1,7.03,10.0
2024-07-17,1.0,25.8,31.3,22.1,87.0,1.7,2.9,16.18,9.8
2024-07-18,0.0,28.4,33.4,24.4,77.0,2.3,7.4,23.01,10.0
2024-07-19,,30.0,34.5,26.0,72.0,3.0,5.2,20.12,9.3
2024-07-20,45.0,30.7,35.8,25.0,76.0,2.6,10.2,23.58,7.5
2024-07-21,20.0,29.1,34.6,24.6,79.0,2.7,11.0,25.4,6.8
2024-07-22,9.5,30.5,36.6,24.8,75.0,2.6,10.4,24.57,4.8
2024-07-23,,29.5,34.5,24.2,82.0,2.9,13.0,27.04,1.8
2024-07-24,0.0,30.1,36.0,24.9,69.0,2.2,8.5,18.43,7.0
2024-07-25,0.5,30.2,34.8,27.0,72.0,2.4,7.1,20.44,9.3
2024-07-26,0.0,30.1,35.6,26.1,73.0,2.4,6.9,22.95,9.0
2024-07-27,0.5,30.3,35.6,26.7,76.0,1.9,7.1,21.32,9.8
2024-07-28,,31.6,36.8,26.5,67.0,2.1,10.5,22.32,7.5
2024-07-29,,32.3,37.3,29.3,61.0,3.1,10.7,25.36,7.3
2024-07-30,0.5,30.8,36.1,27.8,68.0,2.3,4.0,11.32,7.5
2024-07-31,42.5,29.4,35.6,24.6,77.0,2.7,5.6,18.18,9.8
2024-08-01,,28.5,33.5,24.5,74.0,2.4,9.3,22.26,7.3
2024-08-02,,28.7,33.9,25.4,74.0,2.6,6.0,17.56,4.3
